OBJECTID_12,FID_Movimientos_AreaPotencial,OBJECTID_1,Shape_Leng,a,OBJECTID,ENCUEST,DPTO,MUNICIPIO,VEREDA,PARTE,ETIQUETA,ESTE_ESC,NORTE_ESC,ESTE_CUERP,NORT_CUERP,ESTE,FECHA_REP,NORTE,ALTITUD,TIPO_MOV1,TIPO_MOV2,SUBTIPO_1,SUBTIPO_2,ACTIVIDAD,ELEM_EXP,COD_SIMMA,FECHA_MOV,PLANCHA,ID_MOV,ID_PARTE,REF_GEOGRF,FTE_INFSEC,EDAD_RELAT,Shape_Le_1,FID_RasterT_Amenaza1,Id,gridcode,AMENAZA,Shape_Length,Shape_Area
11,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,99,99,1,MEDIA,123.3564089,407.6735498
12,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,102,102,1,MEDIA,50,156.25
13,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,113,113,1,MEDIA,16.09586717,5.703300225
14,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,114,114,1,MEDIA,8.021218075,2.394698409
15,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,137,137,1,MEDIA,14.05023632,7.347443519
16,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,1202,1202,2,ALTA,1011.778207,44315.84753
17,6,6,253.6275029,0,10,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,dts,0,0,0,0,1086760.303,26/9/2019 00:00,1290729.767,493,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG004, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],15-20 aÃƒÂ±os,253.6275029,1202,1202,2,ALTA,253.6275029,3537.192182
18,7,7,990.7487966,0,16,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Centenario / El Libano,n,dts,0,0,0,0,1083152.342,26/9/2019 00:00,1289931.056,430,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,1/1/2002,109IIIB,CM059, ,Adyacente a la vÃƒÂ­a Lebrija-Sabana de Torres. Cerca del punto de confluencia entre las Quebradas Agua Blanca y La Chorrera.,Google Earth; 01/2002.,>20 aÃƒÂ±os,136.1007451,1202,1202,2,ALTA,72.71098209,240.7883079
19,8,8,109.7851207,0,17,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1085415.412,26/9/2019 00:00,1287720.057,812,Deslizamiento, ,Deslizamiento traslacional, ,Activo,Ambiental,0,1/1/2002,109IIID,CM026, ,Cerca del corregimiento El Naranjo.,Google Earth; 01/2002.,<1 aÃƒÂ±o,109.7851207,1202,1202,2,ALTA,109.7851207,373.680327
20,9,9,1662.01049,0,21,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,ft,0,0,0,0,1084959.831,26/9/2019 00:00,1290706.764,558,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,1/1/2002,109IIIB,CM064, ,Cerca de la Cuchilla de San Carlos y de la Quebrada Agua Blanca.,Google Earth; 01/2002.,>20 aÃƒÂ±os,1125.172715,1202,1202,2,ALTA,1250.757731,22601.83664
